transaction_id,customer_id,customer_email,customer_name,customer_gender,customer_age,customer_phone,customer_street1,customer_street2,customer_city,customer_state,customer_zip,customer_country,customer_lat,customer_long,customer_creditcard_account_no,service_id,service_name,service_category_super,service_category_sub,service_rate,service_provider_id,service_provider_email,service_provider_name,service_provider_gender,service_provider_age,service_provider_phone,service_provider_street1,service_provider_street2,service_provider_city,service_provider_state,service_provider_zip,service_provider_country,service_provider_lat,service_provider_long,service_hours,service_total_amount,booking_date,service_date,actual_service_date,transaction_status,service_status,is_cancelled,is_delivered_on_time
68,yash8,y8@gmail.com,yash8,m,28,437829,"614 N Paulina St",01,Chicago,Illinois,60622,"United States",41.8929675,-87.6697129,48329,45,"service 42",plumbing,"drain repair",36,deepak21,d21@xyz.com,"deepak yadav 21",f,64,1234567890,"1563 N Wells St",79,chicago,illinois,60610,"United States",41.910999,-87.634567,3,108,12/05/2020,12/07/2020,12/08/2020,approved,accepted,0,0
69,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,34,"service 31",appliances,"washing machine",28,deepak16,d16@xyz.com,"deepak yadav 16",f,67,1234567890,"6639 S Pulaski Rd",859,chicago,illinois,60629,"United States",41.7719179,-87.7222257,2,56,12/05/2020,,,approved,rejected,0,0
70,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,5,115,12/05/2020,12/08/2020,12/08/2020,disputed,accepted,0,1
71,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,52,"service 49","pest control",termite,22,deepak25,d25@xyz.com,"deepak yadav 25",f,32,1234567890,"130 N LaSalle Dr",89,chicago,illinois,60602,"United States",41.8840026,-87.632767,1,22,12/05/2020,12/10/2020,12/10/2020,disputed,accepted,0,1
72,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,5,"service 2",cleaning,kitchen,12,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,2,24,12/05/2020,,,approved,rejected,0,0
73,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,53,"service 50","pest control",mosquito,35,deepak25,d25@xyz.com,"deepak yadav 25",f,32,1234567890,"130 N LaSalle Dr",89,chicago,illinois,60602,"United States",41.8840026,-87.632767,6,210,12/05/2020,,,approved,rejected,0,0
74,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,54,"service 51",moving,"packers and movers",30,deepak26,d26@xyz.com,"deepak yadav 26",m,45,1234567890,"1300 S Wabash Ave",#200,chicago,illinois,60605,"United States",41.8656129,-87.6261433,7,210,12/05/2020,12/08/2020,12/08/2020,disputed,accepted,0,1
75,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,59,"service 56",carpenter,"furniture repair",26,deepak28,d28@xyz.com,"deepak yadav 28",f,47,1234567890,"2501 W Washington Blvd","Suite 301",chicago,illinois,60612,"United States",41.8827908,-87.6888856,1,26,12/05/2020,,,approved,rejected,0,0
76,yash9,y9@gmail.com,yash9,m,43,47382910`,"1500 S Kenneth Ave,",011,Chicago,Illinois,60622,"United States",41.8604039,-87.7362491,37482910,46,"service 43",plumbing,"sink replace",25,deepak22,d22@xyz.com,"deepak yadav 22",f,73,1234567890,"1016 W Jackson Blvd",#37,chicago,illinois,60607,"United States",41.8780255,-87.6527575,6,150,12/05/2020,,,approved,pending,1,0
77,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,64,"service 90",cleaning,bathroom,25,deepak32,d32@xyz.com,"deepak yadav 32",m,34,1234567890,"1401 S State St",123,chicago,illinois,60605,"United States",41.8634989,-87.6270427,2,50,12/05/2020,,,disputed,rejected,0,0
78,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,16,"service 13","pest control",ants,25,deepak7,d7@xyz.com,"deepak yadav 7",f,56,1234567890,"2929 S Wabash","Ave #202",chicago,illinois,60616,"United States",41.8409592,-87.6248837,5,125,12/05/2020,,,approved,rejected,0,0
79,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,38,"service 35",appliances,chimney,20,deepak18,d18@xyz.com,"deepak yadav 18",f,76,1234567890,"7200 S Cicero Ave",13,chicago,illinois,60629,"United States",41.7627181,-87.7459841,1,20,12/05/2020,,,disputed,rejected,0,0
80,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,28,"service 25",carpenter,"customize furniture",23,deepak13,d13@xyz.com,"deepak yadav 13",f,22,1234567890,"3922 S Wells St",78,chicago,illinois,60609,"United States",41.8229331,-87.6328686,5,115,12/05/2020,12/06/2020,12/07/2020,approved,accepted,0,0
81,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,29,"service 26",painting,"wall painting",34,deepak13,d13@xyz.com,"deepak yadav 13",f,22,1234567890,"3922 S Wells St",78,chicago,illinois,60609,"United States",41.8229331,-87.6328686,2,68,12/05/2020,,,approved,rejected,0,0
82,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,30,"service 27",painting,"furniture painting",34,deepak14,d14@xyz.com,"deepak yadav 14",m,34,1234567890,"4555 S Western Blvd",789,chicago,illinois,60609,"United States",41.8109103,-87.6831864,1,34,12/05/2020,12/13/2020,12/13/2020,approved,accepted,0,1
83,yash10,y10@gmail.com,yash10,m,28,7438291,"1515 S Prairie Ave,",704,Chicago,Illinois,60605,"United States",41.8617675,-87.6202181,43829,15,"service 12","pest control","bed bugs",27,deepak6,d6@xyz.com,"deepak yadav 6",f,54,1234567890,"215 E 31st St",56,chicago,illinois,60616,"United States",41.8381842,-87.6211659,6,162,12/05/2020,12/10/2020,12/10/2020,approved,accepted,0,1
